Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Yoomiii,12,0.8410,18.06.2006,http://streamd.hitparade.ch/audio/0210000/0212895.mp3,,http://streamd.hitparade.ch/cdimages/yoomiii-gimme_gimme_gimme_s.jpg,04.06.2006,,"Gimme, Gimme, Gimme",0.65,0212895
Yohanna,9,0.2640,31.05.2009,http://streamd.hitparade.ch/audio/0550000/0557961.mp3,,http://streamd.hitparade.ch/cdimages/yohanna-is_it_true_s.jpg,24.05.2009,http://youtu.be/R9FZhr93V3A,Is It True?,0.15,0557961
Yes,11,0.6950,05.02.1984,http://streamd.hitparade.ch/audio/0000000/0001031.mp3,,http://streamd.hitparade.ch/cdimages/yes-owner_of_a_lonely_heart_s.jpg,18.12.1983,http://youtu.be/lsx3nGoKIN8,Owner Of A Lonely Heart,0.88,0001031
Yello feat. Heidi Happy,15,-0.2730,18.10.2009,http://streamd.hitparade.ch/audio/0610000/0618370.mp3,ch,,18.10.2009,,Part Love,-0.34,0618370
Yello,8,0.8680,12.06.1988,http://streamd.hitparade.ch/audio/0000000/0001789.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-the_race_s.jpg,29.05.1988,http://youtu.be/Y4QbJRAWvRU,The Race,0.33,0001789
Yello,9,0.7750,07.07.1991,http://streamd.hitparade.ch/audio/0000000/0002277.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-rubberbandman_s.jpg,16.06.1991,,Rubberbandman,0.72,0002277
Yello,10,0.7050,29.01.1984,http://streamd.hitparade.ch/audio/0000000/0001036.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-lost_again_s.jpg,25.12.1983,http://youtu.be/zURHUV2b4p4,Lost Again,0.42,0001036
Yello,15,0.7110,18.10.1992,http://streamd.hitparade.ch/audio/0000000/0002503.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-jungle_bill_s.jpg,13.09.1992,http://youtu.be/Mgm9nyGYRX0,Jungle Bill,0.48,0002503
Yello,9,0.8290,17.08.1986,http://streamd.hitparade.ch/audio/0000000/0001477.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-goldrush_s.jpg,03.08.1986,http://youtu.be/lMKKDolpX90,Goldrush,0.25,0001477
Yello,19,0.7060,21.07.1985,http://streamd.hitparade.ch/audio/0000000/0001290.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-desire_s.jpg,14.07.1985,http://youtu.be/ilNgRMGanBc,Desire,0.38,0001290
Yello,6,0.6660,03.05.1987,http://streamd.hitparade.ch/audio/0000000/0001594.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-call_it_love_s.jpg,05.04.1987,http://youtu.be/rMIWoCAUNaE,Call It Love,0.73,0001594
Years & Years,9,0.5630,26.04.2015,http://streamd.hitparade.ch/audio/1370000/1374506.mp3,,http://streamd.hitparade.ch/cdimages/years_years-king_s.jpg,22.03.2015,http://youtu.be/g_uoH6hJilc,King,0.44,1374506
Yazz,7,0.7250,20.11.1988,http://streamd.hitparade.ch/audio/0000000/0001875.mp3,,http://streamd.hitparade.ch/cdimages/yazz-stand_up_for_your_love_rights_s.jpg,20.11.1988,,Stand Up For Your Love Rights,0.87,0001875
Yall feat. Gabriela Richardson,13,0.6370,07.02.2016,http://streamd.hitparade.ch/audio/1480000/1482711.mp3,,http://streamd.hitparade.ch/cdimages/yall_feat_gabriela_richardson-hundred_miles_s.jpg,10.01.2016,http://youtu.be/9hmd7of42DM,Hundred Miles,0.88,1482711
Y-Titty,9,0.5550,25.08.2013,http://streamd.hitparade.ch/audio/1180000/1181370.mp3,,http://streamd.hitparade.ch/cdimages/y-titty-halt_dein_maul_s.jpg,25.08.2013,http://youtu.be/hH4TnqaUXjk,Halt dein Maul,0.86,1181370
Xzibit,6,0.5080,02.02.1997,http://streamd.hitparade.ch/audio/0000000/0003356.mp3,,http://streamd.hitparade.ch/cdimages/xzibit-paparazzi_s.jpg,22.12.1996,,Paparazzi,0.55,0003356
XXL feat. Peter 'Cool Man' Steiner,10,-0.2210,21.05.1995,http://streamd.hitparade.ch/audio/0000000/0003007.mp3,ch,http://streamd.hitparade.ch/cdimages/xxl_feat_peter_cool_man_steiner-geierwally_s.jpg,07.05.1995,,Geierwally,-0.26,0003007
Xavier Naidoo,11,0.5280,17.03.2002,http://streamd.hitparade.ch/audio/0000000/0005064.mp3,,http://streamd.hitparade.ch/cdimages/xavier_naidoo-wo_willst_du_hin_s.jpg,03.03.2002,http://youtu.be/abbrDDmSXLE,Wo willst du hin?,0.36,0005064
X-Perience,7,0.5790,01.12.1996,http://streamd.hitparade.ch/audio/0000000/0003336.mp3,,http://streamd.hitparade.ch/cdimages/x-perience-a_neverending_dream_s.jpg,24.11.1996,,A Neverending Dream,0.96,0003336
Wyclef Jean feat. Mary J Blige,9,-0.2510,18.02.2001,http://streamd.hitparade.ch/audio/0000000/0004515.mp3,,http://streamd.hitparade.ch/cdimages/wyclef_jean_feat_mary_j_blige-911_s.jpg,26.11.2000,http://youtu.be/KiNRIR8tjFc,911,-0.21,0004515
Wyclef Jean,17,0.8350,15.07.2001,http://streamd.hitparade.ch/audio/0000000/0004765.mp3,,http://streamd.hitparade.ch/cdimages/wyclef_jean-perfect_gentleman_s.jpg,01.07.2001,http://youtu.be/uDwraXBUHgs,Perfect Gentleman,0.56,0004765
Wyclef Jean,19,0.8330,02.11.1997,http://streamd.hitparade.ch/audio/0000000/0003553.mp3,,http://streamd.hitparade.ch/cdimages/wyclef_jean-guantanamera_s.jpg,02.11.1997,http://youtu.be/mSdpLMRTwA8,Guantanamera,0.38,0003553
Wu-Tang Clan,9,0.7870,21.01.2001,http://streamd.hitparade.ch/audio/0000000/0004510.mp3,,http://streamd.hitparade.ch/cdimages/wu-tang_clan-gravel_pit_s.jpg,19.11.2000,http://youtu.be/Of-lpfsBR8U,Gravel Pit,0.54,0004510
Worlds Apart,14,0.3720,24.12.1995,http://streamd.hitparade.ch/audio/0000000/0003137.mp3,,http://streamd.hitparade.ch/cdimages/worlds_apart-when_its_christmas_time_s.jpg,24.12.1995,,When It's Christmas Time,0.45,0003137
Worlds Apart,16,0.6640,15.09.1996,http://streamd.hitparade.ch/audio/0000000/0003293.mp3,,http://streamd.hitparade.ch/cdimages/worlds_apart-je_te_donne_s.jpg,15.09.1996,,Je te donne,0.54,0003293
Worlds Apart,17,0.6220,26.05.1996,http://streamd.hitparade.ch/audio/0000000/0003177.mp3,,http://streamd.hitparade.ch/cdimages/worlds_apart-everybody_s.jpg,10.03.1996,,Everybody,0.84,0003177
Wonderwall,7,0.4350,07.07.2002,http://streamd.hitparade.ch/audio/0000000/0005152.mp3,,http://streamd.hitparade.ch/cdimages/wonderwall-just_more_s.jpg,12.05.2002,http://youtu.be/Crcxyh5w1S8,Just More,0.22,0005152
Wings,11,0.6520,24.06.1978,http://streamd.hitparade.ch/audio/0000000/0000513.mp3,,http://streamd.hitparade.ch/cdimages/wings-with_a_little_luck_s.jpg,03.06.1978,,With A Little Luck,0.28,0000513
Wincent Weiss,10,-0.2210,04.12.2016,http://streamd.hitparade.ch/audio/1540000/1548873.mp3,,http://streamd.hitparade.ch/cdimages/wincent_weiss-musik_sein_s.jpg,16.10.2016,http://youtu.be/Hliyr7RJIuM,Musik sein,-0.38,1548873
