Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Limahl,5,0.7180,15.01.1984,http://streamd.hitparade.ch/audio/0000000/0001029.mp3,,http://streamd.hitparade.ch/cdimages/limahl-only_for_love_s.jpg,11.12.1983,,Only For Love,0.95,0001029
Lily Allen,5,0.7800,02.08.2009,http://streamd.hitparade.ch/audio/0540000/0541647.mp3,,http://streamd.hitparade.ch/cdimages/lily_allen-fuck_you_s.jpg,07.06.2009,http://youtu.be/yFE6qQ3ySXE,Fuck You,0.82,0541647
Lilly Wood & The Prick and Robin Schulz,1,0.7830,15.06.2014,http://streamd.hitparade.ch/audio/1290000/1291808.mp3,,http://streamd.hitparade.ch/cdimages/lilly_wood_the_prick_and_robin_schulz-prayer_in_c_(robin_schulz_remix)_s.jpg,15.06.2014,http://youtu.be/IcoqJCJlHbQ,Prayer In C (Robin Schulz Remix),0.88,1291808
Lilly Ahlberg,3,0.5600,11.12.2016,http://streamd.hitparade.ch/audio/1610000/1613917.mp3,,http://streamd.hitparade.ch/cdimages/lilly_ahlberg-love_is_like_s.jpg,27.11.2016,http://youtu.be/4M6mOEI1aEk,Love Is Like,0.15,1613917
Lil Louis,2,0.7690,22.10.1989,http://streamd.hitparade.ch/audio/0000000/0002011.mp3,,http://streamd.hitparade.ch/cdimages/lil_louis-french_kiss_s.jpg,10.09.1989,,French Kiss,0.56,0002011
Lil Bow Wow,4,0.9200,08.07.2001,http://streamd.hitparade.ch/audio/0000000/0004726.mp3,,http://streamd.hitparade.ch/cdimages/lil_bow_wow-bow_wow_(thats_my_name)_s.jpg,03.06.2001,,Bow Wow (That's My Name),0.94,0004726
Lighthouse Family,2,0.6630,10.05.1998,http://streamd.hitparade.ch/audio/0000000/0003623.mp3,,http://streamd.hitparade.ch/cdimages/lighthouse_family-high_s.jpg,15.03.1998,http://youtu.be/taOL5HJdx1A,High,0.59,0003623
Lieutenant Pigeon,2,0.7440,12.12.1972,http://streamd.hitparade.ch/audio/0000000/0000253.mp3,,http://streamd.hitparade.ch/cdimages/lieutenant_pigeon-mouldy_old_dough_s.jpg,21.11.1972,http://youtu.be/O465enGz03w,Mouldy Old Dough,0.92,0000253
Level 42,5,0.7830,15.03.1987,http://streamd.hitparade.ch/audio/0000000/0001576.mp3,,http://streamd.hitparade.ch/cdimages/level_42-running_in_the_family_s.jpg,01.03.1987,,Running In The Family,0.88,0001576
Level 42,1,0.7180,03.08.1986,http://streamd.hitparade.ch/audio/0000000/0001457.mp3,,http://streamd.hitparade.ch/cdimages/level_42-lessons_in_love_s.jpg,06.07.1986,http://youtu.be/gt7mtdLha-c,Lessons In Love,0.85,0001457
Lesley Hamilton,3,0.6940,23.09.1978,http://streamd.hitparade.ch/audio/0000000/0000521.mp3,,http://streamd.hitparade.ch/cdimages/lesley_hamilton-no_hollywood_movie_s.jpg,29.07.1978,,No Hollywood Movie,0.34,0000521
Les Sauterelles,1,-0.3460,30.07.1968,http://streamd.hitparade.ch/audio/0000000/0000042.mp3,ch,http://streamd.hitparade.ch/cdimages/les_sauterelles-heavenly_club_s.jpg,09.07.1968,,Heavenly Club,-0.26,0000042
Leonard Cohen,2,0.2800,20.11.2016,http://streamd.hitparade.ch/audio/0020000/0024711.mp3,,http://streamd.hitparade.ch/cdimages/leonard_cohen-hallelujah_s.jpg,28.09.2014,http://youtu.be/YrLk4vdY28Q,Hallelujah,0.22,0024711
Leona Lewis,2,0.3020,22.02.2009,http://streamd.hitparade.ch/audio/0420000/0425610.mp3,,http://streamd.hitparade.ch/cdimages/leona_lewis-run_s.jpg,14.12.2008,http://youtu.be/jqpAgMxhx30,Run,0.81,0425610
Leona Lewis,4,0.4920,29.11.2009,http://streamd.hitparade.ch/audio/0610000/0618694.mp3,,http://streamd.hitparade.ch/cdimages/leona_lewis-happy_s.jpg,22.11.2009,,Happy,0.25,0618694
Leona Lewis,1,0.6380,10.02.2008,http://streamd.hitparade.ch/audio/0360000/0364693.mp3,,http://streamd.hitparade.ch/cdimages/leona_lewis-bleeding_love_s.jpg,23.12.2007,http://youtu.be/7_weSk0BonM,Bleeding Love,0.22,0364693
