Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Travis,52,0.4550,28.10.2001,http://streamd.hitparade.ch/audio/0000000/0004880.mp3,,http://streamd.hitparade.ch/cdimages/travis-side_s.jpg,30.09.2001,http://youtu.be/VK3Q4SLVkAU,Side,0.52,0004880
Travis,84,0.3120,19.10.2003,http://streamd.hitparade.ch/audio/0000000/0005809.mp3,,http://streamd.hitparade.ch/cdimages/travis-re-offender_s.jpg,12.10.2003,http://youtu.be/0v5TMgimk6U,Re-Offender,0.34,0005809
Travis,93,0.3800,28.04.2002,http://streamd.hitparade.ch/audio/0000000/0005138.mp3,,http://streamd.hitparade.ch/cdimages/travis-flowers_in_the_window_s.jpg,21.04.2002,http://youtu.be/AFvfX3Mfd9E,Flowers In The Window,0.48,0005138
Travis,32,0.5380,20.05.2007,http://streamd.hitparade.ch/audio/0290000/0299662.mp3,,http://streamd.hitparade.ch/cdimages/travis-closer_s.jpg,13.05.2007,http://youtu.be/u2hYn_4yuhc,Closer,0.26,0299662
Trauffer,75,0.5200,06.12.2015,http://streamd.hitparade.ch/audio/1500000/1502189.mp3,ch,http://streamd.hitparade.ch/cdimages/trauffer-sennesinger_s.jpg,06.12.2015,http://youtu.be/XPXiHGq2Ods,Sennesinger,0.39,1502189
Trauffer,71,0.4270,04.05.2014,http://streamd.hitparade.ch/audio/1240000/1245898.mp3,ch,,04.05.2014,http://youtu.be/Vnf9Lgz9CXM,Müeh mit de Chüeh,0.68,1245898
Trauffer,57,0.5160,14.02.2016,http://streamd.hitparade.ch/audio/1510000/1514729.mp3,ch,,14.02.2016,http://youtu.be/za9P26A3Jj0,Heiterefahne,0.66,1514729
Trauffer,53,0.6320,19.01.2014,http://streamd.hitparade.ch/audio/1230000/1238679.mp3,ch,http://streamd.hitparade.ch/cdimages/trauffer-brienzer_buurli_s.jpg,19.01.2014,http://youtu.be/xFK1Wpav7TM,Brienzer Buurli,0.94,1238679
Transit,22,-0.2840,11.12.1988,http://streamd.hitparade.ch/audio/0000000/0001889.mp3,,http://streamd.hitparade.ch/cdimages/transit-you_cant_stop_the_fire_s.jpg,11.12.1988,,You Can't Stop The Fire,-0.30,0001889
Trance Allstars,45,0.4950,16.01.2000,http://streamd.hitparade.ch/audio/0000000/0004083.mp3,,http://streamd.hitparade.ch/cdimages/trance_allstars-the_first_rebirth_s.jpg,19.12.1999,,The First Rebirth,0.35,0004083
Trance Allstars,83,0.6370,26.03.2000,http://streamd.hitparade.ch/audio/0000000/0004196.mp3,,http://streamd.hitparade.ch/cdimages/trance_allstars-ready_to_flow_s.jpg,12.03.2000,,Ready To Flow,0.49,0004196
